Author1,Author2
736,1200
109,321
1222,3574
692,2362
599,2134
287,327
359,432
69,2319
1201,1421
929,962
351,1022
874,3012
232,1559
1070,2658
43,2037
191,740
2336,3157
2026,2214
427,2148
2338,3203
786,3020
357,628
535,671
375,2668
853,980
1632,2933
219,3323
66,866
1442,2543
1289,2715
396,1680
2555,2800
173,3557
2318,2685
1093,2143
819,1611
3103,3140
1570,3236
2051,3280
867,3493
44,1470
1513,3604
155,1981
2865,2975
1049,1928
367,1342
625,1866
652,1740
79,121
116,942
1141,1867
2833,3521
1525,1978
71,647
759,2216
938,2447
155,1055
1533,1610
1691,2950
497,2741
722,873
608,1525
143,671
692,3101
222,671
1625,2488
197,3243
1301,2512
466,3404
3256,3344
425,1013
932,2012
400,956
1074,2361
1513,2933
301,1593
2913,3247
2436,3322
2497,2780
1235,3339
731,2116
1739,2054
1517,3173
192,2481
2766,2796
1260,3224
258,3185
1818,2993
1360,3347
645,2318
3024,3478
512,2728
2081,2814
2318,2498
2031,2239
3422,3487
875,1733
417,855
499,3139
650,2783
213,2782
2933,3215
586,812
147,2162
892,3070
1642,3302
532,2498
1263,2488
1455,2429
2455,3038
235,2167
1312,3548
699,2796
162,642
165,876
719,2216
429,2154
1658,2586
1156,1207
789,1908
642,2154
655,2093
232,3158
177,1236
560,2206
205,2503
1234,2150
939,1744
3076,3105
2382,3182
1850,3587
3358,3434
108,1523
750,761
2859,3521
359,876
1785,2145
2818,2931
1209,1460
370,2876
848,1454
1803,2320
1180,3095
177,2417
1794,2500
419,2179
1774,3016
581,1460
17,600
1608,2202
630,2520
714,3157
287,3349
1369,2859
2098,2968
1831,2624
1284,1997
408,606
370,2300
1117,2759
1115,2161
1902,3214
900,3175
3348,3415
256,3073
1782,3563
584,660
2716,2909
381,1792
1110,1938
3355,3539
2825,3310
707,1962
1681,1875
499,966
2947,3192
1426,2817
1181,2757
3304,3429
608,909
2287,2624
14,399
1012,2719
151,2619
2451,2732
1501,3112
657,1444
947,2940
522,3242
924,2956
2161,3572
2990,3131
1541,2632
156,2855
460,3532
1145,3369
1785,2763
267,1905
1803,3046
127,1336
25,3540
2449,3157
1241,3013
2342,2802
1748,2063
569,2620
1923,2589
2432,2695
885,1136
1029,1329
1968,3005
830,1614
1742,2699
1475,3072
1435,1724
478,1162
335,2574
2336,2354
1171,2846
1439,2597
488,574
759,3023
863,3080
730,1504
558,754
977,3367
1189,2957
1559,1736
1119,1851
2001,2498
1317,3263
155,3272
403,3108
2123,2609
1020,2747
2186,2665
2504,3240
435,2996
1436,2847
2115,3135
475,3334
1776,3440
72,3358
1526,2511
1254,2052
754,3163
155,360
671,3394
2032,2319
2936,3220
1563,2514
2311,2902
647,1990
313,2639
2517,3007
829,3458
2176,2714
2637,2843
1672,1868
628,1603
19,2313
1168,3045
3064,3297
1892,3076
727,1353
345,1022
1062,1077
2145,2209
116,2367
10,2614
1844,3449
697,2763
833,2129
468,1479
839,3112
2133,3030
1638,2233
1223,1237
406,2964
1603,3444
1145,1317
231,1391
287,505
3,1914
2459,2503
349,1275
1087,3190
1249,2700
401,913
867,2369
1046,2371
944,2589
1207,1242
917,3129
1877,2942
1844,2765
2933,3446
2133,3393
1508,3341
2022,3296
1435,1779
2133,2575
2624,2812
1235,3596
1097,1905
1076,3014
1893,3007
260,1933
1987,2642
866,2911
1740,2657
1868,3071
156,2347
867,2624
1481,2029
1061,1443
962,2861
1246,2391
39,671
1327,2501
468,3265
1567,2153
1868,3313
1840,2204
3123,3165
806,2627
1238,3038
1551,3498
503,603
3254,3355
111,1018
1353,1978
1917,2020
379,2001
699,3403
1509,2454
1303,3554
1182,3264
47,3598
2864,3183
2413,3247
434,2997
2624,3430
1832,2218
790,3009
1807,2161
1218,1766
2947,3073
2265,2450
332,3070
1860,3569
2180,2793
339,2965
2579,3027
29,2022
2145,2277
295,680
2430,2675
1776,1885
124,2259
2585,2963
759,1723
880,966
1891,1993
2853,3387
2223,3220
2352,3105
2562,2686
1849,2750
784,2426
378,1738
1868,2763
853,3199
1708,1764
75,919
664,1957
652,2657
688,2314
1909,2922
1804,3394
140,2216
379,2498
2081,3113
183,1805
126,1234
464,1266
2515,2587
333,2503
2488,3164
1600,2473
1009,1968
1270,2009
138,2678
883,3549
728,1460
1165,2252
155,3261
530,3138
628,3444
3171,3278
554,1051
2826,3280
1444,2017
2971,3109
1698,2607
2482,2652
2974,3114
1501,1504
1798,2959
523,1822
765,1355
642,2682
2617,3227
3375,3579
2433,3591
184,528
875,3563
804,2865
1640,3137
2540,2899
916,1645
107,1247
1758,3129
2042,2659
1569,3378
1409,1928
1081,1345
1982,2729
988,2285
679,2698
1043,3389
1185,3509
1314,1933
1114,3040
2380,2896
907,1020
2288,3307
400,1189
1119,2108
152,3073
9,1304
335,1208
605,3055
2062,2442
659,1076
723,2000
1943,3164
569,3482
662,2892
743,1541
550,1375
181,2740
249,1154
712,915
875,1845
802,3289
1120,3598
116,1685
852,3002
878,3139
2173,2942
32,644
778,2154
1659,1674
1257,1896
523,2574
861,2044
3176,3448
581,1209
536,1466
1528,2480
1283,2154
787,2216
317,1809
931,2611
1607,2665
989,2323
1231,1856
2748,2984
831,2151
1999,3125
185,956
1669,2432
1218,1513
702,1633
1223,2796
700,2755
3432,3508
1587,2255
1642,1696
360,1603
1535,1570
930,2924
1785,3438
331,2070
711,3523
1253,3025
527,2130
2564,3590
965,1346
824,2124
656,1759
2034,2314
371,543
1368,1406
2538,3015
1944,2505
3263,3419
1200,2761
2058,2792
196,2124
832,3008
1427,2400
2012,3090
1551,2466
1603,2104
818,2063
310,3542
1891,1982
612,1140
968,2761
1663,3057
270,3362
820,3011
1353,1525
383,795
1172,3170
341,798
2438,2501
151,637
478,803
334,3239
2063,2331
2015,3337
3021,3495
2985,3020
1896,3507
2194,2935
2457,3574
548,2565
2270,2930
2066,2871
1550,1557
1978,2758
1019,3355
1640,1716
196,3547
1664,2598
590,697
2579,3392
1973,3582
1555,2840
937,2498
1196,1675
1051,3014
2646,3338
772,1384
328,1636
2446,2755
1188,3248
612,2563
2537,3287
1114,1269
171,642
3280,3331
1781,2715
1492,2612
2498,3295
1450,2386
1226,1675
1317,3025
581,1156
815,1057
1895,1955
460,2852
1415,2550
759,933
1220,1493
302,1596
554,2342
817,3210
1678,2492
63,240
340,2763
816,1938
1189,3203
432,2995
671,2230
1031,1984
433,2294
448,2831
375,1306
3272,3587
59,2763
2185,2686
3332,3574
701,1183
1201,3455
1662,2618
806,1879
663,1012
322,490
1676,2637
405,1656
739,778
1463,2758
2175,2735
873,2700
1461,3099
2451,3020
1135,2296
153,280
70,2726
562,2663
1441,1585
1766,1870
1201,1603
929,1144
215,2326
1376,2358
1635,3521
331,1454
921,2488
332,2322
411,2386
889,2950
1318,2538
165,869
1687,2112
2017,2512
855,2255
879,2612
1,2343
2626,2741
852,3125
2461,3347
2349,2877
1350,2318
3093,3560
383,3320
1556,2423
733,1861
2039,3065
2402,2888
581,2029
155,1103
3314,3384
499,1401
